        name    code
0      CJ오쇼핑  035760
1      CMG제약  058820
2  IBKS제8호스팩  277410
3        KTH  036030
4  SBI인베스트먼트  019550
CJ오쇼핑 65523 6215518
CMG제약 -352790 108887244
KTH -11108 35715022
SBI인베스트먼트 -44994 162066575
SDN -19866 37327567
SKC 솔믹스 1152471 61494040
SKC코오롱PI 384712 29366322
STC -15162 23547769
YTN -18833 42000000
게임빌 33446 6595192
구영테크 26 19794174
국영지앤엠 -118745 34895243
나노엔텍 25260 25652586
네오오토 0 7874963
네패스신소재 -2882 2860000
넥스트BT -4998 61587062
넥스트리밍 -28 7016911
넥스트칩 5639 13447500
넥슨지티 -85607 35373322
다산네트웍스 -258354 28395322
다우데이타 -68733 38300000
대원미디어 198039 12578946
대원산업 5292 20037600
대유위니아 -25291 35967295
대진디엠피 40585 13864500
대창스틸 7937 20000000
대한약품 27499 6000000
동구바이오제약 -20412 9604000
디지틀조선 1 37115267
디케이디앤아이 -190 21972411
라이온켐텍 -28935 15386005
라이트론 19091 12922017
레드로버 1 44474010
로보로보 0 17798454
로보스타 105848 7800000
루멘스 16678 47276784
매직마이크로 719731 48164429
메디포스트 -72533 7868421
메이슨캐피탈 1349 97204408
미래나노텍 2912 23289533
미스터블루 1437 24338741
바이오톡스텍 -57319 14564623
보광산업 2393 34470000
브리지텍 0 11952500
비츠로테크 -15014 22353873
비트컴퓨터 432226 16623293
삼기오토모티브 644854 30827256
삼아제약 952 6370000
삼양옵틱스 -49908 10000000
서린바이오 -4 6900516
서연전자 4728 27000000
서플러스글로벌 364218 36988000
서희건설 -2242451 173467745
성광벤드 -68915 28600000
성호전자 376 29506142
세원 22450 4476597
솔트웍스 -153974 10311829
수성 0 9424760
시노펙스 -1166 65517274
시스웍 -761 18000000
신일제약 366 7900000
신화인터텍 4305 29135091
심텍 -74322 22752959
쎄트렉아이 -260 3659990
씨아이에스 449550 53624705
씨티엘 -15999 26254825
아난티 -2308777 82320915
아모텍 163500 9743406
아이디스 -67831 10716390
아이앤씨 -70593 15789538
아진산업 -64761 29732585
안국약품 -11244 13042420
알톤스포츠 0 12746297
애니젠 -29968 5016165
에너토크 0 9756088
에버다임 -437277 17915944
에스모 2485282 87508375
에스앤더블류 0 7200000
에스텍파마 24939 11898263
에스티큐브 -87267 26710641
에이디테크놀로지 17808 9245328
에이스테크 -45034 31707378
에이치시티 3997 4579934
에이치엘사이언스 -7195 5142148
에프알텍 0 11400000
엠게임 -24225 19543877
오스코텍 257900 27250787
오스템임플란트 -130691 14285717
오이솔루션 -7164 7739532
오킨스전자 5654 6200000
와이엠티 147336 7405200
와이제이엠게임즈 29092 45636595
와토스코리아 -1987 7200000
우리산업 98651 9132163
우정바이오 1059 25109711
원익홀딩스 -150950 77237981
원일특강 -11694 4400000
원풍 0 12000000
월덱스 39320 16510993
웹스 5913 6849238
윈스 -56893 11530731
윈하이텍 9533 9863089
유니셈 668481 30664223
유니크 166737 19320695
유바이오로직스 -234422 25288486
유비케어 126783 52197139
유신 -15279 3000000
유진로봇 25238 37512152
유테크 -4000 14667032
이글루시큐리티 0 10996119
이노와이어리스 145241 6002500
이노인스트루먼트 73663 20283149
이수앱지스 -327582 26625292
이엑스티 -1759 26322574
인크로스 56863 7957193
인트론바이오 -22451 15038462
인포마크 -2252 3628208
인피니트헬스케어 -2399 24396458
인화정공 -52051 9331705
재영솔루텍 -3449 45695556
정다운 65095 20529824
제이씨현시스템 148077 19114432
제이엠티 -4213 16748240
젬백스 -191471 31542020
지와이커머스 -4000 20154595
청담러닝 -106747 7659651
캐스텍코리아 -55002 12373089
케이디 네이쳐 엔 바이오 32 54006810
케이피에스 -14907 4270000
케이피티 0 5060000
코리아나 -159450 40000000
코리아에스이 0 18900000
코미코 -27738 8775000
코아스템 -18886 15717440
코오롱티슈진 -204989 60947175
코웰패션 1522086 90500234
코이즈 0 10532840
코텍 -204393 15574552
쿠첸 792 10686277
큐로홀딩스 133 60193222
큐캐피탈 -33051 134639266
크루셜텍 -2220 45767892
텔레칩스 196056 13505911
팅크웨어 -254715 10425682
파라다이스 -1462525 90942672
파워넷 -1736354 12009614
파인디지털 640 10210765
패션플랫폼 -31130 22706300
폭스브레인 2780 49620228
푸드웰 61439 8000000
푸른저축은행 -3192 15082800
풍국주정 0 12600000
피에스텍 -106436 19669243
피제이전자 -34550 10000000
픽셀플러스 1651 8166558
하나금융7호SPAC -183060 8000000
하이로닉 -73595 14094745
한솔인티큐브 0 13879521
한일화학 -1198 3510000
해덕파워웨이 -66794 11355218
해마로푸드서비스 191083 93897786
현대아이비티 1 32574192
현우산업 251 14317308
화성밸브 -52810 7280000
휴마시스 -100365 27724009
휴맥스홀딩스 0 12577506
휴온스글로벌 -41790 10404299
흥국 -163286 12322696
C&S자산관리 0 7348534
CNH 467 37200000
DSC인베스트먼트 -263867 17500000
EMW 5341 31784197
GMR 머티리얼즈 1022 67558840
GS홈쇼핑 148152 6562500
ISC 222932 13869854
KMH -118195 21428410
KMH하이텍 -903 46885499
NE능률 28 13497842
NHN한국사이버결제 -597992 21597493
RFHIC -114154 22248959
SG 243080 12506024
SG&G -8012 34087196
SGA 741 96558937
TPC 0 12900000
iMBC -18 23000000
강스템바이오텍 -19519 16594937
경창산업 3443 17560000
고려시멘트 1 31979960
글로벌에스엠 377 53743968
네오티스 -32100 11013678
녹십자랩셀 80135 10554054
뉴파워프라즈마 -57149 8250337
뉴프라이드 0 79465293
다원시스 -340510 25836611
대아티아이 264827 71151522
대화제약 -84223 18224974
도이치모터스 32713 26263308
동아엘텍 15819 11150296
동양에스텍 11708 10000000
동운아나텍 83950 6541769
디딤 124749 35201905
디바이스이엔지 -105651 6782000
디엠씨 0 40042474
디지아이 7070 9000000
라온시큐어 -298 31809612
레이언스 166844 16591014
리노스 -35155 37754994
린드먼아시아 -89925 13500000
마이크로컨텍솔 20704 8312766
메카로 -60234 9981140
모바일어플라이언스 6595 15000000
바디텍메드 -112792 23325311
바이오니아 68621 20624568
바이오닉스진 -4620 15993536
바이오제네틱스 37471 10954777
베셀 146497 11192368
부스타 93292 8404800
비아트론 179495 12114710
비츠로시스 4934 43977524
삼목에스폼 110984 14700000
삼표시멘트 -17404 107357173
상신전자 254944 3921000
새로닉스 -100860 12423574
서산 49 20000000
서원인텍 -34070 18600000
선데이토즈 -318939 9569842
성도이엔지 4814 15470000
세진티에스 5269 8396593
