name,code,low,ins_date,del_date,picked
바른손이앤에이,035620,1785,2018-05-29,2018-05-30,0
예스24,053280,5430,2018-05-29,0000-00-00,1
네오위즈홀딩스,042420,14350,2018-05-29,0000-00-00,1
네오위즈,095660,18400,2018-05-29,0000-00-00,1
마이크로컨텍솔,098120,3920,2018-05-29,0000-00-00,1
지란지교시큐리티,208350,2200,2018-05-29,0000-00-00,1
대아티아이,045390,8490,2018-05-29,0000-00-00,1
키이스트,054780,2805,2018-05-29,0000-00-00,1
오리콤,010470,5510,2018-05-29,0000-00-00,1
SCI평가정보,036120,3605,2018-05-30,0000-00-00,1
디에스티로봇,090710,1710,2018-05-30,0000-00-00,1
에이치시티,072990,9140,2018-05-30,0000-00-00,1
에스디시스템,121890,2790,2018-05-30,0000-00-00,1
코나아이,052400,10550,2018-05-30,0000-00-00,1
파인테크닉스,106240,2665,2018-05-30,0000-00-00,1
해마로푸드서비스,220630,2465,2018-05-30,0000-00-00,1
인터파크,108790,7110,2018-05-30,0000-00-00,1
