Class,Subclass,Reason,StockCode,StockName
A,A,D,013000,세우글로벌
A,A,B,058400,KNN
A,A,D,078590,두올산업
A,A,D,012280,영화금속
A,B,C,050860,아세아텍
A,B,F,058860,케이티스
A,B,A,009460,한창제지
A,B,A,017250,인터엠
A,B,A,049800,우진플라임
A,B,A,060480,국일신동
A,B,F,058850,KTcs
A,B,A,014160,대영포장
A,B,C,006090,사조오양
A,B,C,006370,대구백화점
A,B,C,016920,카스
A,B,C,033830,티비씨
A,B,E,037370,EG
A,B,A,012340,뉴인텍
A,B,A,014915,성문전자우
A,B,A,014910,성문전자
A,B,G,065440,이루온
A,B,A,019770,서연탑메탈
A,B,A,012790,신일제약
A,B,A,226360,이엑스티
A,B,E,113810,디젠스
A,B,E,011420,갤럭시아에스엠
A,B,A,053060,세동
A,B,A,134060,이퓨처
A,B,A,089790,제이티
A,B,G,039290,인포뱅크
A,B,F,226440,한송네오텍
A,B,E,024900,덕양산업
A,C,A,051630,진양화학
A,C,A,003780,진양산업
A,C,A,007370,진양제약
A,C,A,010640,진양폴리
A,C,A,100250,진양홀딩스
A,C,D,002785,진흥기업우B
A,C,A,051160,지어소프트
A,D,E,000890,보해양조
A,D,G,072130,유엔젤
A,D,A,010240,흥국
A,D,A,093380,풍강
A,D,E,016670,포비스티앤씨
A,D,A,001515,SK증권우
A,D,E,118000,우리들휴브레인
A,D,E,004720,우리들제약
A,D,A,057030,와이비엠넷
A,D,E,001380,SG충방
A,D,A,099520,ITX엠투엠
A,D,E,099520,ITX엠투엠
A,D,E,128660,피제이메탈
A,D,A,041460,한국전자인증
A,E,F,008350,남선알미늄
A,E,F,008355,남선알미우
A,E,F,082740,HSD엔진
A,E,E,058730,다스코
A,E,A,068050,팬엔터테인먼트
A,E,G,068050,팬엔터테인먼트
A,E,B,068050,팬엔터테인먼트
A,E,A,111870,삼본정밀전자
A,E,B,111870,삼본정밀전자
A,F,H,020180,대신정보통신
A,F,H,002290,삼일기업공사
A,F,H,099220,SDN
A,F,H,004780,대륙제관
A,F,H,155660,DSR
A,F,H,069730,DSR제강
A,F,H,094190,이엘케이
A,F,B,005670,푸드웰
A,F,F,011370,서한
A,G,E,045660,에이텍
A,G,E,224110,에이텍티앤
A,G,A,045340,토탈소프트
A,G,E,062860,티엘아이
A,G,A,204840,지엘팜텍
A,G,A,053160,프리엠스
A,G,B,025950,동신건설
A,G,E,020710,시공테크
A,G,A,066130,하츠
A,G,A,050110,캠시스
A,G,A,158310,인터불스
A,G,A,129260,인터지스
A,G,E,208140,정다운
A,G,E,050890,쏠리드
A,G,D,093240,형지엘리트
A,G,E,065500,오리엔트정공
A,H,B,044180,KD건설
A,H,A,046310,백금T&A
A,H,E,001380,SG충방
A,I,A,083660,CSA코스믹
A,I,E,133820,화인베스틸
A,I,E,023790,동일철강
A,I,F,046210,파나진
A,I,A,096610,알에프세미
A,I,A,187790,나노
A,I,G,053610,프로텍
A,J,E,004770,써니전자
A,J,E,053800,안랩
A,J,E,093640,다믈멀티미디어
A,J,E,001420,태원물산
A,J,A,049480,오픈베이스
A,J,E,049480,오픈베이스
A,J,G,048830,엔피케이
A,J,E,039740,한국정보공학
